seq1	4p12.1	(45.6,69.2)
seq700	19p14.15	(26.0,19.8)
seq701	5q9.1	(83.3,72.0)
seq702	20q15.7	(44.5,65.5)
seq703	11q8.6	(97.7,52.4)
seq704	19p7.12	(22.5,89.4)
seq705	6p12.4	(63.0,35.1)
seq706	11q14.7	(39.4,39.6)
seq707	17q5.7	(85.1,80.5)
seq708	1p12.8	(75.9,65.1)
seq709	15p13.9	(84.7,91.4)
seq710	1p11.3	(55.9,54.2)
seq711	4q6.15	(87.7,0.9)
seq712	4p2.8	(74.6,34.5)
seq713	2q9.12	(23.1,16.6)
seq714	16q3.9	(75.3,87.2)
seq715	10q1.3	(42.1,74.8)
seq716	15p4.11	(19.3,11.1)
seq717	3p7.11	(24.0,96.6)
seq718	10q2.7	(97.2,78.8)
seq719	9q3.13	(53.2,54.6)
seq720	3p5.2	(96.2,82.3)
seq721	6p15.7	(92.3,20.7)
seq722	12q15.4	(49.1,51.7)
seq723	13p2.14	(64.1,10.6)
seq724	16p2.4	(53.2,53.8)
seq725	6p7.11	(19.5,37.8)
seq726	9p13.5	(42.2,43.8)
seq727	10p5.9	(62.9,68.4)
seq728	5p8.3	(86.8,42.3)
seq729	7p14.12	(57.9,61.8)
seq730	11q3.5	(70.0,65.9)
seq731	17p10.9	(20.8,7.7)
seq732	20p4.12	(61.3,29.5)
seq733	5q12.6	(37.1,95.0)
seq734	14q6.11	(46.4,59.1)
seq735	3q11.12	(64.1,36.1)
seq736	10p2.3	(18.5,3.2)
seq737	6p8.10	(47.1,44.0)
seq738	15q14.10	(28.3,13.5)
seq739	18p11.10	(51.1,98.4)
seq740	6q12.7	(12.5,60.1)
seq741	5q7.1	(55.3,17.2)
seq742	1q10.6	(58.9,48.3)
seq743	22p3.4	(17.7,10.6)
seq744	5p11.15	(76.3,82.6)
seq745	2q11.4	(53.3,14.8)
seq746	21q8.6	(89.5,36.5)
seq747	16p15.10	(80.2,15.6)
seq748	21q4.1	(72.6,87.9)
seq749	8q15.14	(14.7,93.8)
seq750	13p11.9	(26.2,95.0)
seq751	10p11.15	(56.0,75.7)
seq752	11q7.10	(38.2,7.5)
seq753	16q11.1	(83.1,91.5)
seq754	21q2.13	(100.0,47.0)
seq755	6q2.6	(16.4,1.1)
seq756	13p7.2	(78.0,67.5)
seq757	1q6.5	(73.2,20.7)
seq758	14q4.6	(85.7,17.1)
seq759	6p2.4	(24.5,23.8)
seq760	3q3.14	(35.0,86.0)
seq761	18p10.4	(47.0,19.6)
seq762	6q14.7	(21.9,85.9)
seq763	19q15.4	(31.4,80.9)
seq764	21p12.13	(24.0,77.8)
seq765	19p14.5	(52.7,11.4)
seq766	9p13.6	(65.7,5.4)
seq767	17p14.6	(39.8,34.4)
seq768	17p12.2	(63.0,17.3)
seq769	16p7.13	(44.4,66.6)
seq770	5q3.11	(97.0,64.5)
seq771	1q6.5	(11.7,93.6)
seq772	14q6.15	(4.7,8.2)
seq773	12q10.1	(1.2,96.1)
seq774	4p1.6	(43.8,87.9)
seq775	5p2.5	(29.9,68.1)
seq776	10q15.11	(4.3,12.7)
seq777	9p14.14	(77.0,12.5)
seq778	6p5.3	(41.9,5.8)
seq779	12p1.11	(41.3,37.7)
seq780	21q4.9	(83.5,88.2)
seq781	9p13.8	(68.6,35.6)
seq782	3p2.15	(57.4,88.0)
seq783	10q6.1	(93.1,23.8)
seq784	19p8.9	(96.5,70.3)
seq785	19p7.10	(31.7,62.4)
seq786	10q12.12	(75.1,92.1)
seq787	18p14.13	(86.0,3.4)
seq788	12q14.8	(3.4,88.8)
seq789	7p9.7	(62.5,75.4)
seq790	1q2.1	(18.8,57.0)
seq791	22p12.13	(3.8,36.5)
seq792	14p4.9	(30.4,75.6)
seq793	4q13.6	(54.9,25.3)
seq794	3q9.2	(89.9,63.7)
seq795	1q7.9	(23.2,69.6)
seq796	17p14.10	(16.6,49.5)
seq797	2p14.10	(8.7,45.5)
seq798	8q12.11	(70.8,87.4)
seq799	2q3.15	(99.3,23.7)
seq800	1q10.1	(53.5,99.3)
seq801	16q12.13	(10.5,0.2)
seq802	17p13.9	(52.0,29.4)
seq803	14q4.10	(55.9,69.6)
seq804	7q5.10	(45.5,79.3)
seq805	16q6.9	(11.5,24.6)
seq806	17q10.5	(20.8,58.8)
seq807	10p5.13	(93.4,38.8)
seq808	19p11.2	(22.9,37.8)
seq809	8p13.15	(83.0,86.5)
seq810	2q14.3	(46.7,2.3)
seq811	4q2.8	(18.5,48.6)
seq812	4q12.10	(82.9,0.3)
seq813	4q14.4	(67.2,49.8)
seq814	13q12.9	(51.0,71.4)
seq815	4p15.15	(90.8,44.3)
seq816	3p9.8	(40.6,34.8)
seq817	1q2.13	(17.3,10.8)
seq818	18q12.2	(28.6,22.5)
seq819	10q13.7	(28.0,46.1)
seq820	7p2.13	(19.1,4.4)
seq821	3q13.10	(4.0,50.1)
seq822	10p11.9	(78.6,61.7)
seq823	6q8.3	(33.8,14.4)
seq824	7p3.15	(24.8,10.0)
seq825	3q12.1	(7.7,3.9)
seq826	20p12.4	(55.1,98.4)
seq827	20p15.8	(27.3,40.5)
seq828	15p1.1	(85.6,60.1)
seq829	4p10.12	(34.5,62.1)
seq830	14q14.15	(85.9,78.3)
seq831	15q4.5	(65.6,73.5)
seq832	20p7.13	(74.2,71.8)
seq833	4q3.1	(46.7,20.8)
seq834	5q15.3	(69.2,53.1)
seq835	14q1.15	(46.8,16.5)
seq836	12p4.7	(6.0,45.3)
seq837	14q13.12	(23.7,29.6)
seq838	10q6.4	(94.4,67.8)
seq839	17p4.8	(56.2,38.2)
seq840	14p2.13	(76.8,79.9)
seq841	11p6.8	(10.3,76.5)
seq842	19q15.14	(14.0,92.3)
seq843	16p6.10	(94.0,88.2)
seq844	3q11.8	(63.8,93.2)
seq845	21q6.2	(72.0,84.4)
seq846	18p8.4	(45.4,74.8)
seq847	6p8.11	(75.0,63.7)
seq848	22q5.2	(39.2,36.6)
seq849	7q14.12	(52.0,19.8)
seq850	14q2.10	(25.9,6.7)
seq851	21q7.3	(50.2,58.0)
seq852	14p2.5	(5.9,42.7)
seq853	22p6.4	(68.8,4.6)
seq854	1q7.11	(48.4,1.4)
seq855	2q12.8	(88.4,63.1)
seq856	10p14.8	(40.8,1.6)
seq857	7q6.15	(80.4,91.4)
seq858	16q7.12	(44.9,8.5)
seq859	21q9.12	(7.7,63.4)
seq860	7p10.1	(8.3,92.4)
seq861	21q10.5	(67.8,71.4)
seq862	22q11.6	(2.4,29.2)
seq863	7q9.7	(35.8,34.6)
seq864	19q15.12	(30.1,40.6)
seq865	11q8.4	(97.2,62.3)
seq866	22q7.3	(10.8,38.0)
seq867	22q7.4	(15.1,33.0)
seq868	15p4.13	(5.7,20.4)
seq869	18q6.3	(55.6,76.8)
seq870	14p7.1	(94.2,50.6)
seq871	14q5.6	(31.5,96.0)
seq872	14p9.14	(11.8,52.3)
seq873	13p8.12	(26.0,28.9)
seq874	6p1.14	(81.0,64.1)
seq875	18p13.8	(28.1,54.1)
seq876	9q4.4	(22.2,80.6)
seq877	5p10.2	(23.8,2.8)
seq878	1q1.9	(96.6,19.1)
seq879	3p1.11	(3.8,87.2)
seq880	14p4.9	(42.7,92.2)
seq881	6q13.15	(62.4,10.8)
seq882	3p13.9	(94.4,74.0)
seq883	19q1.8	(51.3,6.7)
seq884	22p8.9	(30.6,20.1)
seq885	1p5.9	(38.6,60.7)
seq886	17p11.14	(81.5,92.9)
seq887	20p8.10	(87.4,26.5)
seq888	5p15.3	(74.6,78.3)
seq889	22p3.9	(62.4,75.9)
seq890	3q3.2	(76.1,86.7)
seq891	22p9.13	(94.8,63.3)
seq892	6q4.13	(43.5,27.2)
seq893	14q8.11	(28.8,29.6)
seq894	12p8.13	(93.4,55.7)
seq895	16p7.6	(84.6,84.6)
seq896	2q9.5	(43.5,3.5)
seq897	19p5.5	(5.0,31.1)
seq898	2q1.13	(68.5,95.0)
seq899	13q6.5	(41.3,29.6)
seq900	21p13.14	(84.8,83.1)
seq901	13q1.4	(41.7,77.1)
seq902	18p10.4	(27.0,91.8)
seq903	3q13.9	(86.3,22.3)
seq904	14q5.6	(74.8,8.0)
seq905	10p8.6	(49.6,77.6)
seq906	21p9.11	(33.2,24.9)
seq907	15p3.13	(50.4,46.7)
seq908	8q11.7	(10.1,65.5)
seq909	22p10.9	(77.0,87.4)
seq910	5p8.1	(69.5,47.2)
seq911	8q8.7	(88.8,76.1)
seq912	20q10.2	(9.9,11.7)
seq913	3q11.6	(33.2,99.1)
seq914	17q1.9	(97.8,9.0)
seq915	14q6.13	(22.1,93.9)
seq916	19p13.7	(63.2,43.1)
seq917	1p4.9	(51.4,80.0)
seq918	11p9.3	(40.5,50.4)
seq919	13p5.8	(57.2,46.4)
seq920	19p11.11	(34.9,78.6)
seq921	12q7.1	(36.2,30.1)
seq922	20q2.7	(21.4,29.5)
seq923	6q10.2	(29.3,42.4)
seq924	5p14.4	(29.4,18.8)
seq925	18p2.2	(20.4,38.0)
seq926	22q4.15	(50.5,69.8)
seq927	12q11.9	(90.8,63.2)
seq928	6p7.12	(62.6,4.3)
seq929	9q4.3	(44.2,63.9)
seq930	6q10.1	(31.3,91.0)
seq931	15p2.9	(12.2,78.7)
seq932	13p11.13	(80.2,53.3)
seq933	3p9.9	(43.0,90.7)
seq934	2p9.6	(0.5,21.9)
seq935	21p8.5	(9.3,3.2)
seq936	2p14.5	(46.5,41.7)
seq937	2p1.7	(78.5,99.2)
seq938	7q3.14	(31.2,53.2)
seq939	22q11.4	(45.3,33.3)
seq940	16p3.10	(63.3,89.6)
seq941	11q10.11	(69.4,63.3)
seq942	3p8.3	(0.7,3.2)
seq943	7p10.13	(19.6,40.9)
seq944	2p1.14	(22.4,41.8)
seq945	18q2.12	(24.3,68.8)
seq946	6p10.6	(55.6,82.5)
seq947	12q8.11	(24.1,68.4)
seq948	11q7.5	(85.9,11.4)
seq949	8q1.10	(13.6,24.5)
seq950	4q15.1	(45.8,36.5)
seq951	11q6.8	(89.0,49.9)
seq952	19p10.15	(90.2,57.9)
seq953	6q7.4	(96.7,89.2)
seq954	16p13.4	(79.6,62.1)
seq955	5q2.3	(45.9,64.5)
seq956	3q1.6	(89.0,77.2)
seq957	17p2.6	(42.3,84.4)
seq958	9p12.3	(48.3,60.8)
seq959	6q9.10	(53.9,88.5)
seq960	10p5.10	(74.9,34.0)
seq961	13p3.4	(61.8,22.5)
seq962	1p12.4	(36.5,0.1)
seq963	14p11.6	(77.1,27.2)
seq964	16q1.2	(18.6,55.6)
seq965	19q7.4	(5.0,55.5)
seq966	7q12.12	(82.6,18.5)
seq967	3p15.7	(43.6,41.5)
seq968	6p13.14	(44.4,22.6)
seq969	16p1.2	(84.3,92.7)
seq970	15q2.2	(90.0,69.6)
seq971	22q5.4	(6.1,60.5)
seq972	22p15.14	(85.0,10.8)
seq973	6q6.14	(51.1,9.8)
seq974	13q15.12	(75.7,82.0)
seq975	9q15.15	(79.9,34.9)
seq976	22q10.4	(36.6,44.9)
seq977	21p7.4	(11.5,71.6)
seq978	11p1.12	(12.6,32.6)
seq979	18p5.11	(3.3,51.9)
seq980	8p10.9	(11.7,41.5)
seq981	12p13.13	(25.6,66.7)
seq982	19q14.3	(27.6,50.6)
seq983	3q4.13	(2.0,52.9)
seq984	5p12.15	(41.9,29.6)
seq985	18q15.11	(11.3,52.3)
seq986	6p10.14	(52.8,97.0)
seq987	14p15.2	(21.3,2.6)
seq988	6p1.6	(25.9,36.3)
seq989	8q4.5	(64.8,84.1)
seq990	20p1.6	(49.2,65.1)
seq991	2p12.2	(97.0,81.5)
seq992	3q11.12	(36.5,25.9)
seq993	16q6.14	(81.5,63.8)
seq994	5p6.9	(77.9,26.1)
seq995	5q15.3	(25.9,74.5)
seq996	3p13.15	(87.3,96.4)
seq997	3p2.5	(6.4,66.3)
seq998	19q5.5	(26.6,64.6)
seq999	19p8.3	(83.5,14.0)
seq1000	8q13.5	(94.6,73.7)
seq1001	17q5.6	(77.3,65.8)
seq1002	11q5.2	(30.0,72.3)
seq1003	8p2.15	(17.0,16.4)
seq1004	16q3.12	(20.3,12.5)
seq1005	15q3.7	(52.2,94.2)
seq1006	6q14.11	(55.0,63.2)
seq1007	1p9.13	(87.4,25.5)
seq1008	20p8.1	(50.1,91.0)
seq1009	7q4.6	(64.8,76.5)
seq1010	11p14.15	(29.4,41.4)
seq1011	11q15.8	(80.2,34.3)
seq1012	2p10.12	(33.7,72.2)
seq1013	22q5.13	(77.6,53.8)
seq1014	16p9.10	(57.8,39.9)
seq1015	18p15.6	(17.1,39.5)
seq1016	7p7.13	(23.5,5.9)
seq1017	19q15.5	(29.8,67.0)
seq1018	2q1.2	(33.7,41.1)
seq1019	17q9.15	(23.9,76.8)
seq1020	21q12.8	(85.9,40.7)
seq1021	14q5.5	(94.4,61.1)
seq1022	3p13.3	(4.7,91.0)
seq1023	16q8.3	(53.2,63.8)
seq1024	13p3.1	(69.1,9.8)
seq1025	5p3.5	(67.0,81.0)
seq1026	16q3.4	(82.4,54.8)
seq1027	21p1.11	(94.2,51.7)
seq1028	12q6.15	(94.9,65.8)
seq1029	4q15.12	(78.0,54.8)
seq1030	20q7.7	(98.2,95.5)
seq1031	19q3.8	(29.7,24.4)
seq1032	19p9.15	(36.0,85.7)
seq1033	15p3.13	(83.6,21.9)
seq1034	18q6.2	(89.5,94.9)
seq1035	5q5.11	(33.7,63.0)
seq1036	19q14.8	(44.7,39.8)
seq1037	7q8.10	(97.6,97.5)
seq1038	22p7.5	(53.5,8.9)
seq1039	22q11.6	(38.1,32.5)
seq1040	8q10.11	(99.3,7.4)
seq1041	22p8.15	(17.5,73.0)
seq1042	15q7.12	(34.9,41.3)
seq1043	17q1.15	(6.2,14.9)
seq1044	9q1.12	(81.6,99.6)
seq1045	17p9.7	(38.4,73.2)
seq1046	10p11.3	(74.6,63.8)
seq1047	20q15.14	(43.8,50.2)
seq1048	17q4.14	(94.2,96.5)
seq1049	2q15.1	(40.4,23.4)
seq1050	11p11.3	(46.8,46.2)
seq1051	6p2.1	(97.3,18.7)
seq1052	14q11.4	(39.4,34.8)
seq1053	13p8.11	(58.8,65.8)
seq1054	4q2.7	(88.3,80.7)
seq1055	5p13.13	(21.7,41.1)
seq1056	9q5.10	(21.9,18.2)
seq1057	14p12.11	(17.4,27.9)
seq1058	15q12.14	(41.6,93.2)
seq1059	19p3.7	(63.7,12.3)
seq1060	4p12.6	(96.5,3.6)
seq1061	2q8.7	(19.8,99.7)
seq1062	8q6.9	(94.8,55.4)
seq1063	6q6.3	(83.0,25.7)
seq1064	6p10.2	(29.6,51.3)
seq1065	9p3.13	(88.1,90.8)
seq1066	2p5.10	(0.4,25.9)
seq1067	19q12.4	(36.9,35.1)
seq1068	8q3.2	(45.3,89.8)
seq1069	7p3.5	(65.6,75.0)
seq1070	20q2.4	(29.2,39.6)
seq1071	11p15.15	(74.1,45.6)
seq1072	12q6.4	(96.0,6.4)
seq1073	11q1.15	(75.1,26.6)
seq1074	1q12.12	(39.1,38.8)
seq1075	2q10.8	(3.8,65.2)
seq1076	16q8.4	(45.3,47.5)
seq1077	16p10.8	(13.9,32.0)
seq1078	16p6.2	(15.3,40.6)
seq1079	6p5.5	(16.1,9.8)
seq1080	20p8.2	(91.7,19.4)
seq1081	1q4.9	(99.1,73.8)
seq1082	22p9.9	(45.3,60.5)
seq1083	5q13.11	(34.2,13.6)
seq1084	7q15.14	(23.6,42.8)
seq1085	14q13.15	(61.5,82.7)
seq1086	19p12.12	(30.2,34.3)
seq1087	17p8.7	(18.5,42.0)
seq1088	9q7.6	(99.8,76.6)
seq1089	3p10.2	(72.5,86.3)
seq1090	15q14.9	(30.4,99.1)
seq1091	22p11.12	(66.1,67.3)
seq1092	5p13.13	(9.2,54.4)
seq1093	2q8.8	(30.5,57.4)
seq1094	8p12.9	(29.3,14.7)
seq1095	7p8.8	(28.9,99.5)
seq1096	12p12.4	(70.4,6.0)
seq1097	7p1.7	(92.8,77.6)
seq1098	11p15.12	(49.5,40.6)
seq1099	8p7.15	(51.4,74.6)
seq1100	10p3.3	(58.5,94.2)
seq1101	4q6.5	(65.7,47.0)
seq1102	2p3.8	(54.2,63.6)
seq1103	15q6.9	(79.3,41.8)
seq1104	16q14.11	(34.7,17.9)
seq1105	22q2.10	(47.6,91.8)
seq1106	20p4.2	(81.1,32.0)
seq1107	2p2.12	(39.0,42.2)
seq1108	16p7.14	(56.6,27.3)
seq1109	7q5.13	(97.4,5.9)
seq1110	7q12.3	(13.0,76.2)
seq1111	9p5.12	(24.4,86.2)
seq1112	22q12.7	(45.0,93.2)
seq1113	2p9.12	(84.0,96.9)
seq1114	11q4.4	(47.2,43.0)
seq1115	1q8.15	(48.5,13.9)
seq1116	18p14.10	(18.0,57.3)
seq1117	8q7.14	(29.2,86.1)
seq1118	3p8.5	(23.2,42.2)
seq1119	8q1.10	(86.6,81.1)
seq1120	12p2.9	(35.7,11.6)
seq1121	1p2.7	(35.4,78.8)
seq1122	6q11.15	(55.0,6.7)
seq1123	14p13.3	(54.8,18.0)
seq1124	6q2.8	(19.4,39.5)
seq1125	8p9.3	(26.0,23.1)
seq1126	5p8.1	(71.5,92.5)
seq1127	3q1.11	(58.6,86.6)
seq1128	8p11.6	(31.5,57.9)
seq1129	8p4.13	(82.3,48.8)
seq1130	10p13.2	(17.6,24.6)
seq1131	18q6.7	(11.5,69.7)
seq1132	10p1.1	(0.7,38.3)
seq1133	22q15.15	(85.0,42.2)
seq1134	12p15.7	(53.9,15.1)
seq1135	17q7.1	(54.6,42.5)
seq1136	8p10.4	(97.7,35.9)
seq1137	5p4.2	(28.9,89.1)
seq1138	4p10.8	(78.5,50.2)
seq1139	10p8.12	(54.9,32.3)
seq1140	2q1.9	(84.7,17.3)
seq1141	21p8.9	(39.5,54.4)
seq1142	20p5.5	(23.1,78.7)
seq1143	12q3.14	(22.8,72.6)
seq1144	11p7.9	(70.5,85.3)
seq1145	9p6.5	(36.1,54.4)
seq1146	3p8.8	(36.6,94.5)
seq1147	5q4.3	(0.3,4.4)
seq1148	10q14.15	(74.7,38.3)
seq1149	4p11.5	(17.3,43.3)
seq1150	7p9.2	(39.3,13.8)
seq1151	8q13.12	(72.9,69.7)
seq1152	21q7.15	(4.6,17.6)
seq1153	15p13.15	(25.1,92.2)
seq1154	5q11.7	(27.4,96.9)
seq1155	20p3.4	(45.9,88.8)
seq1156	19q11.1	(74.1,92.7)
seq1157	17q14.9	(71.7,43.7)
seq1158	22q7.10	(27.0,91.6)
seq1159	18q12.7	(56.7,18.5)
seq1160	2q13.4	(60.8,20.8)
seq1161	7q15.4	(43.7,44.9)
seq1162	4p2.12	(72.5,1.8)
seq1163	18q14.6	(56.4,14.5)
seq1164	10p4.11	(20.3,51.4)
seq1165	6p3.15	(14.2,64.7)
seq1166	3q3.1	(11.8,74.9)
seq1167	19p11.12	(39.1,25.8)
seq1168	22p13.3	(84.0,87.0)
seq1169	16p15.4	(68.8,53.0)
seq1170	3p8.3	(37.4,18.4)
seq1171	6q2.9	(69.3,72.7)
seq1172	20q13.13	(79.4,6.6)
seq1173	3p8.3	(85.4,60.2)
seq1174	2q11.14	(2.7,67.0)
seq1175	21p8.11	(75.6,53.6)
seq1176	15p12.6	(76.0,12.6)
seq1177	12q15.11	(94.8,68.2)
seq1178	22q8.11	(50.4,80.6)
seq1179	11q11.6	(24.0,92.9)
seq1180	16p2.6	(11.6,64.6)
seq1181	20p9.2	(99.2,25.6)
seq1182	18p15.2	(56.7,18.7)
seq1183	2p12.7	(40.1,14.2)
seq1184	12q3.15	(66.2,48.8)
seq1185	11q6.11	(60.2,92.6)
seq1186	17q12.5	(9.2,18.2)
seq1187	19p10.6	(53.0,19.4)
seq1188	9p9.5	(49.6,42.5)
seq1189	12p8.10	(45.0,25.8)
seq1190	10q12.2	(86.4,25.8)
seq1191	19p8.1	(15.1,66.9)
seq1192	11q5.4	(92.1,85.2)
seq1193	6p15.3	(83.1,78.5)
seq1194	15p8.8	(78.5,16.9)
seq1195	3q3.8	(68.2,99.8)
seq1196	3p6.9	(22.9,95.9)
seq1197	17q13.10	(91.8,93.5)
seq1198	12p14.2	(73.7,24.7)
seq1199	14p2.3	(91.9,84.4)
seq1200	17p3.14	(20.8,65.8)
seq1201	12q2.5	(60.8,70.9)
seq1202	8q4.13	(93.4,26.7)
seq1203	19p13.11	(9.1,98.2)
seq1204	10q15.12	(86.3,69.7)
seq1205	6q10.11	(26.7,19.2)
seq1206	13q14.4	(39.1,96.2)
seq1207	1q9.9	(13.8,94.0)
seq1208	13p14.11	(39.0,22.9)
seq1209	6q6.1	(2.1,39.5)
seq1210	21q3.10	(33.2,23.6)
seq1211	7q4.8	(97.5,46.0)
seq1212	6p10.3	(18.5,86.3)
seq1213	5q10.3	(48.0,28.8)
seq1214	9q5.3	(33.6,88.6)
seq1215	3p10.12	(37.1,44.2)
seq1216	22p15.4	(31.5,75.4)
seq1217	7q12.11	(31.5,74.4)
seq1218	15q13.12	(59.0,21.0)
seq1219	21p12.12	(85.4,56.8)
seq1220	6p6.5	(94.3,4.5)
seq1221	19p7.12	(83.0,94.6)
seq1222	21p12.11	(27.4,65.8)
seq1223	11p13.3	(89.8,3.8)
seq1224	15p7.2	(27.6,98.2)
seq1225	19q3.14	(94.0,75.6)
seq1226	11p3.7	(42.9,87.3)
seq1227	7q6.10	(95.0,98.6)
seq1228	12q14.4	(10.3,45.7)
seq1229	11p9.3	(63.2,67.2)
seq1230	18p3.10	(25.8,16.1)
seq1231	2q2.13	(63.9,13.1)
seq1232	13q13.10	(45.0,88.0)
seq1233	22q1.12	(85.5,62.4)
seq1234	4p9.14	(26.6,95.0)
seq1235	4q5.1	(37.2,5.9)
seq1236	10p13.4	(82.2,5.0)
seq1237	3p9.15	(66.4,28.8)
seq1238	21p12.9	(28.2,3.2)
seq1239	4q5.3	(10.5,9.3)
seq1240	18q12.8	(69.1,96.3)
seq1241	19p9.2	(60.4,35.3)
seq1242	7p2.14	(16.3,47.9)
seq1243	11p3.12	(83.3,34.9)
seq1244	7q5.15	(44.7,45.5)
seq1245	5q15.10	(48.8,5.9)
seq1246	20q1.11	(72.9,55.3)
seq1247	22q8.13	(80.7,64.2)
seq1248	11p15.5	(26.4,76.7)
seq1249	4p9.13	(33.5,38.2)
seq1250	7p13.4	(52.2,35.6)
seq1251	12q4.9	(37.3,38.8)
seq1252	15q13.5	(85.4,38.0)
seq1253	20q5.13	(55.3,15.0)
seq1254	3p15.8	(46.2,84.4)
seq1255	17q1.1	(37.5,65.7)
seq1256	20p15.5	(47.1,40.5)
seq1257	1q9.3	(15.2,14.8)
seq1258	5q14.5	(82.4,73.4)
seq1259	17p5.8	(17.6,89.0)
seq1260	15q1.10	(39.4,77.3)
seq1261	21p15.15	(11.4,84.1)
seq1262	2q2.11	(33.2,75.2)
seq1263	4p7.9	(91.1,20.8)
seq1264	4q10.8	(2.0,43.4)
seq1265	11p4.5	(99.0,0.2)
seq1266	20p3.8	(32.6,22.0)
seq1267	21q15.13	(92.0,56.0)
seq1268	17p4.7	(1.8,37.1)
seq1269	16p14.3	(25.1,79.5)
seq1270	1p1.2	(59.6,34.9)
seq1271	17p11.8	(66.3,59.8)
seq1272	15q6.1	(79.2,97.3)
seq1273	5q15.4	(23.2,16.0)
seq1274	2q3.3	(80.2,26.3)
seq1275	12q4.12	(80.1,84.3)
seq1276	19p9.5	(19.4,71.7)
seq1277	2q9.7	(76.2,95.7)
seq1278	7q5.10	(21.5,48.7)
seq1279	22q9.1	(52.3,11.5)
seq1280	15q5.15	(84.3,2.0)
seq1281	10p14.4	(16.5,80.7)
seq1282	8q7.12	(97.2,57.1)
seq1283	14p2.9	(71.1,69.3)
seq1284	9q1.13	(95.9,63.1)
seq1285	17p9.10	(13.9,56.3)
seq1286	18p13.4	(40.1,46.6)
seq1287	21p9.15	(68.7,3.6)
seq1288	11p10.1	(40.8,98.7)
seq1289	12q14.15	(93.3,19.0)
seq1290	9p3.13	(82.8,0.7)
seq1291	8p11.9	(59.8,82.5)
seq1292	10q4.15	(49.7,6.1)
seq1293	6p3.3	(83.2,4.5)
seq1294	12q10.10	(87.5,91.1)
seq1295	22p13.11	(22.6,14.9)
seq1296	17p9.4	(12.0,64.1)
seq1297	20q1.9	(65.6,93.9)
seq1298	5p5.9	(19.3,82.3)
seq1299	10p15.14	(83.7,10.4)
seq1300	18p11.5	(78.4,60.8)
seq1301	14p3.13	(37.6,70.7)
seq1302	1q10.1	(8.3,18.5)
seq1303	14q4.1	(42.5,75.7)
seq1304	13p10.2	(85.0,18.7)
seq1305	8p3.7	(43.0,30.8)
seq1306	21p10.14	(46.1,66.5)
seq1307	8p3.15	(51.2,8.2)
seq1308	4p13.2	(79.8,69.9)
seq1309	21p7.8	(51.5,70.7)
seq1310	10q7.13	(11.9,59.6)
seq1311	17p2.7	(21.9,58.0)
seq1312	3p2.3	(15.8,35.1)
seq1313	11p13.2	(87.0,73.9)
seq1314	9p9.7	(36.6,4.6)
seq1315	1p7.15	(82.2,96.7)
seq1316	18p13.12	(38.1,35.6)
seq1317	15p7.15	(96.9,52.3)
seq1318	8q4.5	(88.2,69.6)
seq1319	13q1.3	(33.8,60.1)
seq1320	2q14.12	(25.9,68.0)
seq1321	22q14.3	(7.6,33.1)
seq1322	2q10.14	(96.3,75.9)
seq1323	8p6.10	(72.1,51.9)
seq1324	5p11.9	(94.6,36.0)
seq1325	14q7.13	(66.1,94.1)
seq1326	15q1.15	(24.7,73.0)
seq1327	3q11.13	(7.9,16.6)
seq1328	17p13.3	(84.8,73.4)
seq1329	18q2.7	(46.3,20.8)
seq1330	18p3.13	(73.3,91.8)
seq1331	8q12.3	(10.8,78.0)
seq1332	5q2.13	(2.1,68.9)
seq1333	5p4.15	(96.4,47.9)
seq1334	8p2.3	(55.8,77.7)
seq1335	16p1.3	(55.2,62.8)
seq1336	1q9.6	(20.4,89.8)
seq1337	22p6.11	(85.8,83.1)
seq1338	2q13.12	(70.3,38.5)
seq1339	20q10.3	(13.0,54.9)
seq1340	10p3.8	(29.0,59.3)
seq1341	15q2.3	(59.1,9.6)
seq1342	14p6.7	(0.6,29.0)
seq1343	6q8.8	(85.3,29.7)
seq1344	15q7.15	(93.0,85.5)
seq1345	1q9.9	(2.4,89.2)
seq1346	12p11.2	(75.0,27.0)
seq1347	8p2.1	(6.5,44.7)
seq1348	22p15.5	(37.0,49.3)
seq1349	5p10.12	(47.7,14.7)
seq1350	18p6.7	(25.1,49.9)
seq1351	20p8.11	(19.2,1.2)
seq1352	18p7.2	(66.0,75.6)
seq1353	2q15.4	(49.4,86.8)
seq1354	8q4.9	(61.6,63.9)
seq1355	16p14.6	(8.2,65.2)
seq1356	16p5.9	(43.8,53.0)
seq1357	10p10.9	(14.9,61.0)
seq1358	19q15.13	(83.2,46.9)
seq1359	17p7.10	(35.6,14.1)
seq1360	12q5.10	(66.7,59.3)
seq1361	18q9.5	(67.3,38.8)
seq1362	19q7.9	(26.1,54.1)
seq1363	7p4.9	(56.0,72.1)
seq1364	12p5.3	(64.5,18.8)
seq1365	1q10.3	(57.1,76.1)
seq1366	11p5.11	(68.6,99.8)
seq1367	20p3.10	(28.0,18.1)
seq1368	21p2.12	(21.4,35.1)
seq1369	18q2.4	(62.7,20.5)
seq1370	5p10.7	(77.8,46.4)
seq1371	8q15.13	(61.9,57.6)
seq1372	7q15.13	(82.0,16.6)
seq1373	10q10.13	(11.1,30.9)
seq1374	19q5.10	(80.5,22.6)
seq1375	12q5.1	(18.8,99.8)
seq1376	1p11.6	(29.1,58.2)
seq1377	11p10.2	(21.0,47.9)
seq1378	14q4.6	(81.6,3.2)
seq1379	16p15.4	(1.2,45.2)
